0,10166,219,253,1718,0,0,0,0,0,0,0,0,0,10459,12722,0,1528,0,9661,0,0,0,0,0,0,0,9,0,0,1,7,244,1040,96,490,18,35,0,0,8363,850
10166,0,5645,387,3985,8,0,0,0,0,0,0,0,0,4221,14071,0,6899,7,12111,0,2,0,0,0,0,0,3735,6,0,424,325,331,1701,493,1024,68,178,0,0,11830,2659
219,5645,0,513,2791,8,0,0,0,0,0,0,0,0,89,4948,0,4682,0,2555,0,9,0,0,0,0,0,4590,6,0,370,268,114,314,95,66,4,116,0,0,4696,1454
253,387,513,0,10044,6911,0,103,799,347,668,0,171,40,41,68,77,558,3328,791,970,117,2125,0,1237,0,1101,1386,16931,1,22,1,2881,510,11573,296,4116,205,8308,0,1585,98
1718,3985,2791,10044,0,345,0,0,147,134,0,0,0,0,156,4596,0,5996,1333,12592,999,1809,658,0,27,2,1,9564,200,22,1,62,1707,2240,2875,2093,197,862,2,0,9199,1432
0,8,8,6911,345,0,0,810,239,0,554,0,18,5,0,0,0,37,1,24,4,4,120,0,105,0,154,9,3799,0,0,0,3,0,1605,17,0,2,532,0,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,103,0,810,0,0,118,0,103,88,79,37,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1805,0,0,0,0,0,0,0,0,0,322,0,0,0
0,0,0,799,147,239,0,118,0,180,624,0,6,2,0,0,0,5,0,0,0,0,57,0,60,0,8,0,922,0,0,0,0,0,24,0,0,0,0,0,8,0
0,0,0,347,134,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,70,0,266,0,116,0,0,15,189,96,0,0,0,0,27,0,0,0,0,0,13,0
0,0,0,668,0,554,0,103,624,0,0,335,88,64,0,0,0,0,0,0,0,0,0,0,0,0,17,0,692,0,0,0,0,0,25,0,0,0,0,0,0,0
0,0,0,0,0,0,0,88,0,0,335,0,142,21,0,0,0,0,0,0,0,0,0,0,0,0,49,0,474,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,171,0,18,0,79,6,0,88,142,0,2331,0,0,0,0,0,0,0,0,0,0,209,0,3516,0,1538,0,0,0,0,0,7,0,0,0,240,0,0,0
0,0,0,40,0,5,0,37,2,0,64,21,2331,0,0,0,0,0,0,0,0,0,0,0,115,0,683,0,194,0,0,0,0,0,0,0,0,0,6,0,0,0
10459,4221,89,41,156,0,0,0,0,0,0,0,0,0,0,11206,0,532,0,6413,0,0,0,0,0,0,0,0,0,0,0,0,195,537,44,348,0,7,0,0,6947,177
12722,14071,4948,68,4596,0,0,0,0,0,0,0,0,0,11206,0,0,12782,0,10473,0,20,0,0,0,0,0,5435,0,0,372,306,150,1483,429,694,0,448,0,0,21860,3060
0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,73,0,0,391,6,80,0,0,0
1528,6899,4682,558,5996,37,0,0,5,0,0,0,0,0,532,12782,307,0,0,3399,0,9,0,0,0,0,0,5739,38,0,367,260,957,6964,33,6,1332,4711,404,0,8182,877
0,7,0,3328,1333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,8,0,5,0,0,0,0,75,0,0,0,0,172,0,2727,120,815,0,50,0,0,0
9661,12111,2555,791,12592,24,0,0,0,0,0,0,0,0,6413,10473,0,3399,1030,0,556,3785,294,5,184,312,265,10130,67,0,2829,2008,1086,973,2644,3552,63,209,10,0,7306,2901
0,0,0,970,999,4,0,0,0,70,0,0,0,0,0,0,0,0,8,556,0,490,1260,0,185,15,181,850,1,0,93,26,15,0,165,0,0,0,0,0,34,4
0,2,9,117,1809,4,0,0,0,0,0,0,0,0,0,20,0,9,0,3785,490,0,303,669,125,1809,2,6530,7,0,3535,1540,2,4,14,154,0,0,0,0,0,9
0,0,0,2125,658,120,0,0,57,266,0,0,0,0,0,0,0,0,5,294,1260,303,0,61,2505,40,1424,1555,525,0,127,64,5,0,320,0,0,0,2,0,3,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,669,61,0,214,422,41,430,0,0,119,284,0,0,0,0,0,0,0,0,0,0
0,0,0,1237,27,105,0,0,60,116,0,0,209,115,0,0,0,0,0,184,185,125,2505,214,0,797,11488,1497,1943,1,91,52,2,0,256,0,0,0,1620,0,0,10
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,15,1809,40,422,797,0,358,7427,0,0,3780,1768,0,0,0,0,0,0,0,0,0,1716
0,0,0,1101,1,154,0,51,8,0,17,49,3516,683,0,0,0,0,0,265,181,2,1424,41,11488,358,0,4946,7235,0,39,49,1,0,10,0,0,0,2850,0,0,127
9,3735,4590,1386,9564,9,0,0,0,15,0,0,0,0,0,5435,0,5739,75,10130,850,6530,1555,430,1497,7427,4946,0,96,0,7568,8757,101,255,334,241,0,328,0,0,6697,8093
0,6,6,16931,200,3799,0,1805,922,189,692,474,1538,194,0,0,0,38,0,67,1,7,525,0,1943,0,7235,96,0,54,10,8,10,0,1302,0,1196,2,10229,0,40,2
0,0,0,1,22,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1,424,370,22,1,0,0,0,0,0,0,0,0,0,0,372,0,367,0,2829,93,3535,127,119,91,3780,39,7568,10,0,0,7638,0,2,0,0,0,2,0,0,370,3207
